id;name;code;description
1;contextually-based vertical Fresh;dynamic end-to-end;impactful Borders Legacy
2;Concrete;value-added Car Manors;functionalities
3;Carolina;Graphic Mobility;envisioneer
4;Keyboard Clothing Ruble;red incremental;ability
5;Timor-Leste;Rustic Savings;Card product
6;indexing Program project;firewall;Refined
7;Analyst Cliffs Coordinator;Brook Concrete;interactive
8;Representative Future-proofed plum;withdrawal;Loan
9;National;plum;Exclusive Salad
10;implementation monitor Rubber;Business-focused;Shore Shore
