id;name;code;description;address;phone_number
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;circuit;help-desk Kenya
2;Rupee;Open-source violet withdrawal;paradigms;Utah Sleek bypassing;revolutionize cross-platform generate
3;Franc;Sierra People's;1080p;Parkway;Bacon
4;capacitor architect;incubate;cross-platform;Chicken Rustic;bandwidth Forward blue
5;Pizza;invoice Creative;Intelligent calculate Mouse;value-added Fish;deposit Multi-channelled
6;synthesizing website;Facilitator Applications;microchip;Factors Checking;driver Account Salad
7;Wells;experiences;Brand Bedfordshire Assistant;enterprise ivory;olive Supervisor
8;Customizable generate;high-level impactful;Prairie;solid holistic;South
9;seize Yemen;Integration quantifying Configuration;pink Soft contextually-based;withdrawal online Steel;Buckinghamshire up encompassing
10;embrace Unbranded Granite;XSS Regional Quality-focused;Phased;Zloty cross-media invoice;Credit Alaska SCSI
