id;name;code;description;link_source_repository;link_cm_repository;serverlive;serveruat;enviroment;sub_component;epic_jira;date_start;app_type;date_golive
1;Car Carolina;Tools;azure Shoes;Compatible;Bedfordshire;Swaziland;Clothing;orchid;Garden Automotive;even-keeled yellow;2023-02-14;PARTNER;2023-02-14
2;Intelligent;Consultant;Toys Denar dynamic;Research foreground;Developer Advanced Intelligent;Account;Tools Jewelery Guinea;Product Borders;Research;South;2023-02-14;PARTNER;2023-02-14
3;digital challenge;Electronics Customer;Table Estate Polarised;Investment;sensor Bike Granite;Avon Loop;Fiji;Towels Refined;Auto Accounts;ivory Silver;2023-02-15;PARTNER;2023-02-15
4;Account bypass bluetooth;deploy Miquelon Islands;empower;systems;sensor Knoll;Consultant;transition Metal Home;haptic PNG Terrace;Berkshire;Nebraska;2023-02-14;PVCOMBANK;2023-02-14
5;XML Product streamline;Tools Computer Bedfordshire;Missouri Orchestrator Toys;Utah;deposit Steel;primary Producer;Engineer back Managed;Forward Customer primary;Verde transmitter ivory;XSS Applications ADP;2023-02-14;PARTNER;2023-02-14
6;Manager JSON FTP;Car Gorgeous Texas;Seamless;cutting-edge engage RSS;Berkshire Tenge holistic;yellow Up-sized Tunisia;Assistant Strategist;Human encryption up;green Bermuda Swaziland;Latvia;2023-02-14;PVCOMBANK;2023-02-14
7;Krone Rubber;Pound;Wyoming Auto;Italy digital;transmitter;Borders Steel Chicken;CSS District back-end;Soap exuding;Customer Director;support Pants Cambridgeshire;2023-02-15;PARTNER;2023-02-14
8;leverage;scale;Bermuda invoice;deploy;Strategist e-markets transitional;seize Shoes Loan;Won mobile Fish;Optimization;hard Arkansas;Mouse paradigms encryption;2023-02-14;PVCOMBANK;2023-02-14
9;cross-media Vietnam Frozen;Shirt Technician;mission-critical Multi-channelled;synthesizing neural-net bypass;Associate expedite national;Books Account Isle;Automotive;haptic innovate;Electronics transition;Electronics quantify;2023-02-15;PARTNER;2023-02-14
10;Washington red;Path Licensed SAS;alarm withdrawal;Profound withdrawal;back silver USB;Avon e-business Bacon;Division Japan experiences;mission-critical Account;convergence Auto Turkish;Palau;2023-02-15;PVCOMBANK;2023-02-14
