id;name;code;description
1;interactive streamline Home;Human Loan holistic;mission-critical Account Walk
2;Director Gorgeous (Bouvetoya);transmit Sports Soap;matrix orange Communications
3;time-frame cross-platform;Forward;hacking
4;Account Fresh technologies;matrix;Concrete
5;support fuchsia Manager;Sports Chair Grocery;Sausages
6;Lead global;programming Unbranded IB;Towels connect
7;Georgia;red Refined Fall;hack Decentralized Plastic
8;Group protocol Fish;cyan National;EXE Concrete orchestration
9;Buckinghamshire matrix Product;holistic Adaptive hack;Automotive
10;Centralized Tasty;Interactions Tuna;architect optical Awesome
