id;name;bootrap_server;location_topic;rootproducer;root_table;message;link_doc
1;grid-enabled dot-com;Guadeloupe withdrawal;New;standardization;Overpass Metal;Estate Guinea U.S.;Belgium Towels Re-contextualized
2;Multi-lateral;project convergence;Direct Product;Corporate web-enabled full-range;Rial high-level;Investor;moderator
3;Islands Anguilla Books;open-source Multi-channelled Table;Wyoming bandwidth neural;Awesome Optimization;methodology;Fantastic;Assurance Delaware Borders
4;wireless Pants;Strategist Concrete withdrawal;withdrawal proactive;Handcrafted Soft Jewelery;empowering District;utilize;Buckinghamshire quantify Officer
5;Lead Baby invoice;enhance Program International;e-markets Metal Liaison;networks driver navigate;syndicate Borders Florida;web-readiness portals Nebraska;Sleek Granite Industrial
6;Architect interface Expressway;attitude;Investor Cape;Virginia;Avon;Wooden Communications;Uganda
7;Seamless Corporate Orchestrator;haptic Liaison;open-source;Clothing indexing Maine;Administrator;Mandatory Loan users;Response PNG Texas
8;Baby;blockchains Tasty;Clothing JBOD Steel;grey;web-enabled digital;exuding coherent;FTP Automotive Planner
9;Rubber Loan;Tokelau virtual Pizza;wireless compelling;redundant Orchestrator United;EXE iterate Arizona;overriding revolutionary;bandwidth
10;payment array Qatari;Table;Identity revolutionary;tertiary synthesize Gloves;forecast;generation Lead management;Somoni
